,treatment,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,coworkers,supervisor,mental_vs_physical,obs_consequence
445,No,Yes,No,No,Don't know,Don't know,Don't know,Yes,Some of them,Some of them,No,Yes
446,No,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,Yes
447,Yes,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,Some of them,Some of them,No,Yes
448,Yes,Yes,Yes,Yes,No,Don't know,Don't know,No,Some of them,Yes,Don't know,No
450,Yes,Yes,Yes,No,No,Yes,Very easy,No,Yes,Yes,Yes,No
451,No,Yes,Yes,Yes,Don't know,Yes,Don't know,Yes,No,Some of them,Yes,No
452,Yes,Yes,Yes,Yes,No,Don't know,Very difficult,Yes,Some of them,No,No,Yes
453,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Yes,Some of them,No,Don't know,No
454,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Yes,No,No,Don't know,No
455,No,Don't know,No,No,No,Yes,Somewhat easy,No,Yes,Yes,Don't know,No
459,No,Yes,No,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
461,No,Yes,Not sure,Yes,Yes,Don't know,Very easy,Maybe,Some of them,Yes,Yes,No
462,No,No,Yes,No,No,Don't know,Somewhat easy,Yes,Some of them,No,Don't know,No
463,No,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Maybe,Some of them,No,No,No
464,Yes,Don't know,No,Yes,Don't know,Don't know,Somewhat easy,Yes,Some of them,Yes,Yes,No
466,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,Yes,No,No
470,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,Yes,No
471,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Some of them,Yes,Yes,No
472,No,Don't know,No,No,No,Don't know,Very difficult,Yes,No,No,No,No
474,No,Don't know,No,No,No,Don't know,Very difficult,Maybe,Some of them,Yes,Don't know,No
475,Yes,Yes,Not sure,Yes,Yes,Don't know,Don't know,Maybe,No,No,Don't know,No
479,No,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,Some of them,Yes,Don't know,No
480,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Yes,Yes,Yes,No
481,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,No,No,Don't know,No
483,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
484,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,No,Don't know,No
486,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Yes,Some of them,No,Don't know,No
487,Yes,No,Yes,No,No,Yes,Very easy,No,Yes,Yes,Yes,No
490,No,Yes,Not sure,Don't know,Don't know,Yes,Don't know,No,No,Some of them,Yes,No
491,No,Don't know,Not sure,No,No,Don't know,Don't know,No,Some of them,Some of them,Don't know,No
493,Yes,No,No,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,Don't know,Yes
494,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
495,Yes,Yes,Not sure,Don't know,No,Don't know,Don't know,Maybe,Some of them,Some of them,Yes,Yes
496,Yes,Yes,Not sure,No,No,Don't know,Somewhat difficult,Yes,Some of them,No,No,Yes
497,Yes,Don't know,Not sure,No,No,Yes,Somewhat difficult,Yes,Some of them,No,No,Yes
500,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,No,No,No,No
504,Yes,No,Yes,No,No,Don't know,Don't know,Yes,No,No,No,No
505,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,Some of them,No,Yes,No
506,No,Yes,No,Yes,No,Don't know,Very difficult,Maybe,Yes,Yes,No,No
508,Yes,Yes,Yes,Yes,Yes,Don't know,Very easy,No,Some of them,Yes,Yes,No
509,No,Yes,Not sure,Yes,Don't know,Yes,Don't know,No,Some of them,Yes,Yes,No
510,Yes,Yes,Yes,Yes,Yes,Don't know,Very easy,No,Some of them,Some of them,Don't know,No
511,No,No,No,No,No,No,Somewhat easy,Maybe,Some of them,No,Yes,No
512,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,No,Don't know,No
513,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,Yes,Yes,Yes,No
514,Yes,Yes,Not sure,Yes,Yes,Yes,Don't know,Yes,No,No,No,No
515,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
516,Yes,Yes,Not sure,Yes,Yes,Yes,Don't know,No,Some of them,Yes,Yes,No
517,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Yes,Yes,No,Yes
520,No,Yes,Yes,Don't know,Yes,Don't know,Don't know,Maybe,Some of them,Yes,Yes,No
521,No,Don't know,Not sure,Don't know,Don't know,Yes,Don't know,Maybe,Some of them,Some of them,Don't know,No
522,No,No,No,No,No,Don't know,Don't know,Maybe,No,No,No,No
524,Yes,Don't know,Yes,Don't know,No,Yes,Somewhat difficult,Maybe,Some of them,Yes,Yes,No
525,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Some of them,Some of them,Yes,No
528,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Some of them,Yes,No
536,Yes,Yes,Yes,Yes,Yes,Don't know,Somewhat easy,Yes,Some of them,Yes,No,No
537,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No
539,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,Yes
540,Yes,Don't know,No,No,No,Don't know,Somewhat difficult,Maybe,No,No,No,No
541,Yes,Yes,Yes,No,No,Yes,Somewhat easy,No,Yes,Yes,Yes,No
543,Yes,Yes,No,No,Don't know,Don't know,Don't know,Yes,Some of them,Some of them,No,Yes
547,Yes,Yes,No,No,Yes,Don't know,Somewhat difficult,Yes,Some of them,Yes,No,No
548,No,Yes,Yes,Yes,Yes,Yes,Don't know,No,Some of them,Yes,Yes,No
550,No,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
557,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Yes,Some of them,No,Don't know,No
559,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Yes,No
560,No,No,No,No,No,Don't know,Very easy,Maybe,Some of them,No,Yes,No
561,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,Some of them,No,Yes,No
563,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,Some of them,Some of them,Don't know,No
565,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,Some of them,No,No,No
566,Yes,Yes,Not sure,Yes,Don't know,Yes,Don't know,Yes,Yes,Yes,Don't know,No
567,Yes,Yes,No,No,Yes,Don't know,Somewhat easy,No,Yes,Some of them,Don't know,No
568,No,Yes,Not sure,Don't know,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,No,No
569,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
570,Yes,No,Yes,No,No,Don't know,Don't know,Maybe,Some of them,Yes,Yes,No
571,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Yes,Yes,Don't know,No
572,No,Don't know,Not sure,Don't know,Yes,Don't know,Don't know,No,Some of them,Yes,Yes,No
573,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,No,Yes,Yes,No,Yes
574,No,No,Yes,No,No,Don't know,Don't know,No,No,No,No,No
575,No,Don't know,No,No,Don't know,Don't know,Somewhat easy,No,Yes,Yes,Yes,No
576,No,Don't know,No,Don't know,No,Don't know,Don't know,No,Yes,Yes,Don't know,No
577,No,Don't know,Not sure,No,No,Yes,Very easy,No,Some of them,Yes,Yes,No
579,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
580,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,Yes
581,No,Don't know,No,No,Don't know,Don't know,Don't know,No,Some of them,Yes,Don't know,No
583,No,No,Yes,No,No,Yes,Very easy,No,Some of them,Yes,Yes,No
585,No,Don't know,Not sure,No,No,Don't know,Somewhat easy,Maybe,Yes,Yes,Don't know,No
587,No,Yes,Yes,Yes,No,Yes,Don't know,Maybe,Some of them,Some of them,Don't know,Yes
588,Yes,No,No,No,No,Don't know,Somewhat easy,Maybe,Yes,Yes,Don't know,No
589,Yes,No,Yes,No,No,Don't know,Somewhat easy,No,Yes,Yes,Don't know,No
590,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,Yes
591,Yes,Don't know,No,No,No,No,Somewhat difficult,Yes,Some of them,Some of them,Don't know,No
593,Yes,Yes,Not sure,Yes,Yes,Don't know,Don't know,Maybe,Some of them,Some of them,No,No
594,No,Yes,Yes,Yes,Yes,Don't know,Don't know,No,Some of them,Yes,Yes,No
595,No,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,Yes,No
596,Yes,Yes,Not sure,No,No,Don't know,Somewhat difficult,Yes,No,No,No,Yes
597,No,Don't know,No,No,Don't know,Don't know,Don't know,Yes,No,No,Don't know,No
598,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Yes,Yes,Yes,No
599,Yes,No,No,No,Don't know,Don't know,Somewhat difficult,Yes,Some of them,No,No,Yes
600,No,Yes,Yes,Yes,Yes,Don't know,Don't know,No,Some of them,Yes,Don't know,No
601,No,No,No,Yes,Yes,Don't know,Very easy,No,Yes,Yes,Yes,No
602,Yes,Yes,Not sure,No,No,Yes,Somewhat difficult,Yes,No,No,No,No
603,Yes,No,Yes,No,Yes,Yes,Somewhat difficult,No,Yes,Yes,Yes,No
604,No,Yes,Not sure,Don't know,Don't know,Yes,Don't know,Maybe,No,No,No,No
605,No,No,Yes,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,No,No
606,No,Don't know,No,No,Don't know,Don't know,Don't know,Yes,Some of them,Some of them,Don't know,No
607,No,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,Some of them,No,No,No
608,No,Don't know,No,No,No,Don't know,Don't know,No,Yes,Yes,Yes,No
610,Yes,No,Yes,No,No,Yes,Somewhat easy,No,Some of them,Yes,Yes,No
611,No,No,Yes,No,No,Don't know,Very easy,No,Some of them,Yes,Yes,No
612,No,Don't know,No,No,No,Don't know,Don't know,Maybe,Some of them,No,No,No
614,No,Yes,No,No,No,Don't know,Very easy,Yes,Some of them,No,Don't know,No
615,Yes,No,Not sure,No,Yes,Don't know,Somewhat difficult,No,Yes,Yes,Yes,No
616,No,Yes,No,Yes,Don't know,Don't know,Don't know,No,Some of them,Some of them,Yes,No
617,Yes,Yes,Yes,No,No,Yes,Very difficult,Yes,Some of them,No,No,No
622,Yes,Yes,Yes,No,No,Don't know,Very easy,Maybe,Some of them,Some of them,Don't know,No
623,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,No,No,Don't know,No
624,Yes,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Some of them,Don't know,No
625,Yes,Yes,Yes,Yes,Yes,Don't know,Somewhat difficult,Maybe,No,Some of them,No,No
627,Yes,No,Yes,No,No,Yes,Somewhat easy,No,Some of them,Some of them,No,No
629,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,Some of them,Some of them,Don't know,Yes
631,Yes,Yes,Yes,No,No,Don't know,Don't know,Yes,Some of them,Some of them,Don't know,No
633,Yes,Yes,Yes,No,Don't know,Don't know,Somewhat easy,Maybe,Some of them,Yes,Yes,No
638,No,Yes,Not sure,No,No,Yes,Very easy,No,Some of them,Yes,Yes,No
643,No,Yes,Yes,No,Yes,Yes,Somewhat difficult,Yes,No,No,Don't know,Yes
650,No,Don't know,No,Yes,Yes,Don't know,Don't know,No,Some of them,Some of them,Don't know,No
654,Yes,Yes,Not sure,Yes,Yes,Don't know,Very easy,Maybe,No,No,Yes,No
662,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
671,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,No,Don't know,No
675,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,Some of them,Yes,Don't know,No
677,Yes,Don't know,No,No,No,Don't know,Don't know,Yes,No,No,Don't know,No
679,Yes,Yes,Not sure,No,Yes,Don't know,Very easy,No,Yes,Yes,Yes,No
681,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,No,Some of them,Yes,Don't know,No
682,Yes,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Maybe,No,No,No,No
686,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,Yes,No
687,Yes,Yes,Not sure,Yes,Yes,Yes,Somewhat easy,Maybe,Some of them,Yes,Yes,No
688,No,Don't know,No,No,No,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
697,No,No,Yes,No,No,Don't know,Very difficult,Yes,No,No,No,No
699,No,No,No,No,Don't know,Don't know,Somewhat difficult,Maybe,Some of them,No,Don't know,No
700,No,Yes,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,Don't know,No
701,Yes,No,Yes,Yes,Yes,No,Very difficult,No,Yes,Yes,Yes,Yes
702,Yes,Yes,Yes,Don't know,Don't know,Yes,Don't know,Maybe,Yes,Yes,Don't know,No
703,Yes,Yes,Yes,Yes,No,Yes,Somewhat easy,No,Some of them,Yes,Yes,No
704,Yes,Yes,Not sure,No,Yes,Don't know,Somewhat easy,Yes,No,No,No,No
706,No,Don't know,Not sure,No,No,Don't know,Don't know,Yes,Some of them,No,No,No
707,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,No,Yes,Yes,Don't know,No
708,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Yes,Some of them,No,Don't know,No
709,Yes,Yes,Yes,No,No,Yes,Very easy,No,Yes,Yes,Yes,No
712,No,Don't know,No,No,Don't know,Don't know,Very easy,No,Some of them,Yes,Don't know,No
713,No,Yes,Yes,No,Yes,Yes,Don't know,Maybe,Some of them,Some of them,No,No
714,Yes,Yes,Yes,Don't know,Don't know,Don't know,Very difficult,Yes,Some of them,No,No,No
717,No,Yes,Yes,Yes,No,Yes,Somewhat easy,No,Yes,Yes,Yes,No
719,No,Yes,Not sure,No,Don't know,Don't know,Don't know,No,Yes,Yes,Don't know,No
723,Yes,Don't know,No,Yes,Don't know,Don't know,Don't know,Yes,Some of them,Yes,No,No
724,Yes,No,Yes,No,No,Don't know,Don't know,No,Some of them,Yes,Don't know,No
728,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Yes,Yes,No,No
732,No,Don't know,Not sure,No,No,Don't know,Very easy,No,Yes,Yes,Don't know,No
733,No,Yes,Yes,Yes,Yes,Yes,Don't know,No,Yes,Yes,Don't know,No
734,No,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,Yes,Yes,Yes,No
736,No,Yes,Yes,Don't know,Yes,Yes,Don't know,No,Some of them,Yes,Don't know,No
739,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Yes,No,No,Don't know,No
743,Yes,Yes,Yes,No,Don't know,Don't know,Somewhat easy,Maybe,Some of them,Yes,Don't know,No
744,Yes,Yes,Yes,No,No,Don't know,Very difficult,Maybe,Some of them,Some of them,Don't know,No
745,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,Don't know,No
748,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,Yes,No
752,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
754,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,Yes,No
755,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,Don't know,No
756,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,No,Don't know,No
757,Yes,Yes,No,Yes,Don't know,Don't know,Somewhat difficult,Yes,No,No,No,No
759,Yes,No,Yes,No,No,No,Don't know,Yes,Some of them,Some of them,No,Yes
761,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,Yes,Some of them,Yes,No
764,Yes,Don't know,Not sure,Yes,Don't know,Don't know,Somewhat easy,Yes,Some of them,No,No,No
766,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Some of them,No,No,No
768,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,No,No
771,Yes,No,Yes,No,No,Yes,Very easy,Maybe,Yes,Yes,Yes,No
776,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No
778,No,Don't know,Not sure,No,Yes,Don't know,Don't know,Maybe,Some of them,Yes,Don't know,No
781,Yes,No,Yes,No,No,Yes,Somewhat difficult,No,Yes,Yes,Don't know,No
783,No,Don't know,No,No,No,Don't know,Don't know,No,Yes,Yes,Don't know,No
784,No,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Yes,Don't know,No
785,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,Some of them,Some of them,No,Yes
787,Yes,Yes,Yes,Don't know,Don't know,Yes,Don't know,Maybe,Some of them,Some of them,Don't know,No
791,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
792,Yes,Don't know,Not sure,No,No,Yes,Somewhat difficult,Yes,Some of them,Some of them,No,Yes
793,Yes,Yes,No,No,No,Yes,Very difficult,Yes,No,Some of them,No,Yes
794,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Very difficult,Yes,Some of them,Some of them,No,Yes
795,No,Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,Some of them,Yes,No,Yes
796,Yes,Yes,No,No,Don't know,Don't know,Don't know,Yes,Some of them,Yes,Don't know,No
799,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,Maybe,Some of them,No,Yes,No
800,No,Yes,Yes,Yes,No,Yes,Very easy,Yes,Yes,Yes,Don't know,No
801,Yes,No,Yes,No,No,Don't know,Very easy,No,Some of them,Yes,Yes,No
802,No,Yes,No,No,No,Don't know,Don't know,Yes,No,No,Don't know,No
803,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,No,Yes,No
805,Yes,No,Yes,No,No,Don't know,Somewhat difficult,Yes,Some of them,Some of them,No,Yes
806,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,Some of them,Yes,Don't know,Yes
807,No,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No
808,No,Don't know,Not sure,No,Don't know,Don't know,Very easy,No,Yes,Yes,Yes,No
809,No,Yes,Yes,No,Yes,Don't know,Don't know,Maybe,Some of them,Some of them,No,No
812,Yes,No,No,No,No,Yes,Very difficult,Yes,Some of them,Some of them,No,Yes
813,Yes,No,Yes,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
815,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Yes,No,No,Don't know,No
816,Yes,Yes,Yes,Yes,Yes,Yes,Very difficult,Maybe,Some of them,Yes,Don't know,No
817,Yes,No,Yes,No,No,No,Very easy,Yes,Some of them,No,Yes,No
820,Yes,Yes,Not sure,Yes,Don't know,Don't know,Don't know,Yes,Some of them,No,Don't know,No
822,No,No,Yes,No,No,No,Very difficult,Yes,No,No,Don't know,No
823,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,Yes,No
824,No,Yes,No,Yes,Yes,Don't know,Don't know,No,Some of them,Yes,Don't know,No
825,No,Don't know,No,No,No,No,Very difficult,Yes,No,Some of them,No,Yes
826,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,Yes,No
827,No,Don't know,Not sure,No,No,Don't know,Somewhat easy,Yes,Some of them,No,Don't know,No
829,Yes,No,Yes,No,No,Yes,Don't know,No,Some of them,Yes,Yes,No
830,No,Yes,Yes,No,Yes,Yes,Very easy,Maybe,Some of them,No,Yes,No
831,No,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
833,Yes,Yes,Not sure,Don't know,No,Don't know,Don't know,No,Yes,Yes,Don't know,No
834,Yes,No,No,No,No,Don't know,Don't know,Yes,No,No,Don't know,No
836,Yes,Yes,Yes,No,No,Yes,Very easy,No,Some of them,Yes,No,Yes
837,No,Don't know,No,No,Don't know,Don't know,Very difficult,Yes,No,No,No,No
839,No,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,No,Some of them,Yes,No,No
840,Yes,Don't know,No,No,Don't know,Don't know,Very difficult,Maybe,Some of them,Yes,Don't know,No
842,Yes,Yes,Yes,No,No,Don't know,Somewhat difficult,No,Yes,Yes,Don't know,No
843,No,Don't know,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
844,No,Yes,No,No,No,Yes,Somewhat difficult,No,Some of them,Some of them,Don't know,No
846,Yes,Don't know,No,Yes,Don't know,Yes,Don't know,Maybe,Some of them,No,Don't know,No
848,Yes,No,Yes,No,No,Yes,Very easy,No,Yes,Yes,Yes,No
849,No,Yes,Yes,Yes,Yes,Yes,Don't know,No,Some of them,Some of them,Don't know,No
850,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,No,Don't know,No
851,No,Yes,Yes,No,Don't know,Yes,Don't know,Maybe,No,Some of them,Don't know,No
854,No,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
855,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,Yes,No
856,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,Yes,Yes,Yes,No
857,No,Don't know,Not sure,Don't know,No,Yes,Somewhat easy,No,Some of them,Yes,Don't know,No
858,No,No,No,No,No,Don't know,Don't know,Maybe,Some of them,Yes,No,No
862,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
863,Yes,No,Yes,No,No,Don't know,Very difficult,Yes,Some of them,Yes,No,No
864,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,No,No,Yes,No
866,Yes,Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,Some of them,Some of them,Don't know,No
867,No,No,Yes,No,No,Don't know,Very difficult,Maybe,Some of them,Yes,No,No
870,Yes,Yes,Yes,Don't know,Yes,Yes,Somewhat easy,No,Yes,Yes,Yes,No
873,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,Don't know,No
874,No,Yes,Yes,No,No,Yes,Very easy,Maybe,No,No,No,No
875,Yes,Don't know,Not sure,No,Don't know,Don't know,Very difficult,Yes,No,No,Don't know,No
876,No,Yes,No,Yes,No,Yes,Somewhat easy,Maybe,Some of them,Some of them,No,No
877,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Don't know,No
879,Yes,Yes,Yes,No,Don't know,Yes,Very easy,Maybe,No,No,Don't know,No
880,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Yes,No
881,No,Yes,Yes,Don't know,Don't know,Yes,Very easy,No,Some of them,Yes,Yes,No
882,No,Yes,No,Yes,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,Yes,Yes
883,No,Yes,No,No,Don't know,Don't know,Somewhat difficult,No,Some of them,Yes,Yes,No
884,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,No,No
885,No,Don't know,No,No,No,Don't know,Don't know,Maybe,No,No,Don't know,No
889,No,Yes,No,Yes,Yes,Don't know,Don't know,Maybe,Some of them,Yes,Don't know,Yes
890,No,Yes,Not sure,Don't know,Yes,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
891,Yes,No,Yes,No,No,Don't know,Very difficult,Yes,Some of them,No,Don't know,No
892,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,Don't know,No
893,No,Yes,No,Don't know,Yes,Don't know,Very difficult,Yes,Some of them,No,No,No
894,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Don't know,No
895,No,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,No,Some of them,Yes,Don't know,No
896,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,Yes,No
898,No,No,Yes,No,No,Yes,Somewhat easy,No,Some of them,Yes,Yes,No
899,No,Don't know,No,No,Don't know,Don't know,Somewhat easy,No,Some of them,Yes,No,No
900,Yes,No,No,No,No,Don't know,Don't know,Yes,No,No,No,No
902,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Some of them,Some of them,Yes,Yes
904,No,No,Yes,No,No,Yes,Somewhat difficult,No,Some of them,Some of them,Don't know,No
905,Yes,Yes,Yes,No,Yes,Yes,Somewhat difficult,Yes,No,No,No,Yes
906,No,Yes,No,Yes,Yes,Don't know,Don't know,Yes,No,No,Don't know,No
907,Yes,Yes,Yes,Yes,No,Don't know,Don't know,Yes,No,No,No,No
908,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,Don't know,No
909,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,Yes,Yes,Yes,Yes
911,Yes,Yes,Yes,No,Yes,Don't know,Don't know,Maybe,Some of them,No,Don't know,No
913,Yes,Don't know,Yes,No,Yes,Don't know,Somewhat easy,No,Yes,Yes,Don't know,No
916,No,No,Yes,No,No,Yes,Somewhat easy,Maybe,Some of them,Some of them,Don't know,No
918,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,Yes,No
919,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Yes,No,No,Don't know,No
920,No,Don't know,Not sure,No,Don't know,Don't know,Somewhat easy,No,Some of them,Yes,Don't know,No
921,Yes,Yes,Yes,No,Yes,Yes,Somewhat difficult,Maybe,Some of them,Some of them,No,No
922,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,Yes,No
924,No,Yes,No,Don't know,Don't know,Don't know,Very easy,No,Yes,Yes,Yes,No
925,No,Yes,No,Yes,No,Don't know,Don't know,Yes,No,No,Don't know,No
926,No,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No
927,No,Yes,Yes,Yes,Yes,Don't know,Somewhat easy,No,Some of them,Some of them,Yes,No
928,No,Yes,No,No,No,Yes,Don't know,No,Yes,Yes,Don't know,No
929,No,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,Some of them,Yes,Don't know,No
930,Yes,Yes,Not sure,Yes,Yes,Yes,Somewhat difficult,Maybe,Some of them,Yes,Yes,No
931,No,Don't know,No,No,Yes,Don't know,Very easy,No,Some of them,Yes,Yes,No
932,Yes,Yes,Yes,No,Yes,Yes,Very difficult,Yes,Some of them,No,No,Yes
933,Yes,No,Not sure,No,No,Don't know,Very difficult,Yes,No,Some of them,No,No
934,Yes,Don't know,Not sure,No,Yes,Yes,Very difficult,Maybe,Some of them,Some of them,No,Yes
936,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Yes,No,No,Don't know,No
938,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Some of them,Some of them,Don't know,No
939,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Maybe,Some of them,Yes,No,No
940,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,No,No,No
